x,y
-19.809998099981,-392.4360247212509
-19.80959809598096,-392.42017672429245
-19.80919809198092,-392.4043290473406
-19.80879808798088,-392.38848169039494
-19.80839808398084,-392.3726346534558
-19.8079980799808,-392.356787936523
-19.80759807598076,-392.3409415395967
-19.80719807198072,-392.3250954626768
-19.80679806798068,-392.3092497057632
-19.80639806398064,-392.2934042688561
-19.8059980599806,-392.27755915195524
-19.80559805598056,-392.261714355061
-19.80519805198052,-392.2458698781729
-19.80479804798048,-392.23002572129144
-19.80439804398044,-392.21418188441635
-19.8039980399804,-392.1983383675475
-19.80359803598036,-392.18249517068523
-19.80319803198032,-392.1666522938292
-19.80279802798028,-392.1508097369797
-19.80239802398024,-392.13496750013644
-19.8019980199802,-392.11912558329976
-19.80159801598016,-392.1032839864695
-19.80119801198012,-392.0874427096454
-19.80079800798008,-392.0716017528279
-19.80039800398004,-392.0557611160167
-19.79999799998,-392.03992079921204
-19.79959799597996,-392.0240808024136
-19.79919799197992,-392.0082411256217
-19.79879798797988,-391.9924017688362
-19.79839798397984,-391.97656273205695
-19.7979979799798,-391.96072401528426
-19.79759797597976,-391.94488561851784
-19.79719797197972,-391.92904754175794
-19.79679796797968,-391.9132097850043
-19.79639796397964,-391.89737234825725
-19.7959979599796,-391.8815352315165
-19.79559795597956,-391.86569843478213
-19.79519795197952,-391.8498619580542
-19.79479794797948,-391.8340258013326
-19.79439794397944,-391.8181899646175
-19.7939979399794,-391.80235444790867
-19.79359793597936,-391.78651925120636
-19.79319793197932,-391.7706843745105
-19.79279792797928,-391.75484981782085
-19.79239792397924,-391.7390155811378
-19.7919979199792,-391.7231816644609
-19.79159791597916,-391.70734806779063
-19.79119791197912,-391.6915147911266
-19.79079790797908,-391.6756818344691
-19.79039790397904,-391.65984919781806
-19.789997899979,-391.64401688117323
-19.78959789597896,-391.6281848845349
-19.78919789197892,-391.6123532079029
-19.78879788797888,-391.5965218512774
-19.78839788397884,-391.58069081465817
-19.7879978799788,-391.5648600980455
-19.78759787597876,-391.54902970143917
-19.78719787197872,-391.53319962483914
-19.78679786797868,-391.5173698682457
-19.78639786397864,-391.50154043165844
-19.7859978599786,-391.48571131507776
-19.78559785597856,-391.4698825185033
-19.78519785197852,-391.4540540419354
-19.78479784797848,-391.4382258853739
-19.78439784397844,-391.4223980488187
-19.7839978399784,-391.40657053227005
-19.78359783597836,-391.3907433357276
-19.78319783197832,-391.3749164591917
-19.78279782797828,-391.3590899026621
-19.78239782397824,-391.343263666139
-19.7819978199782,-391.32743774962233
-19.78159781597816,-391.31161215311187
-19.78119781197812,-391.295786876608
-19.78079780797808,-391.2799619201104
-19.78039780397804,-391.2641372836193
-19.779997799978,-391.24831296713444
-19.77959779597796,-391.23248897065616
-19.77919779197792,-391.2166652941843
-19.77879778797788,-391.2008419377187
-19.77839778397784,-391.1850189012596
-19.7779977799778,-391.16919618480676
-19.77759777597776,-391.15337378836045
-19.77719777197772,-391.1375517119204
-19.77679776797768,-391.12172995548696
-19.77639776397764,-391.1059085190599
-19.7759977599776,-391.090087402639
-19.77559775597756,-391.07426660622474
-19.77519775197752,-391.05844612981673
-19.77479774797748,-391.0426259734152
-19.77439774397744,-391.02680613702
-19.7739977399774,-391.01098662063134
-19.77359773597736,-390.995167424249
-19.77319773197732,-390.97934854787303
-19.77279772797728,-390.9635299915035
-19.77239772397724,-390.9477117551403
-19.7719977199772,-390.9318938387836
-19.77159771597716,-390.9160762424332
-19.77119771197712,-390.9002589660893
-19.77079770797708,-390.8844420097518
-19.77039770397704,-390.86862537342057
-19.769997699977,-390.8528090570959
-19.76959769597696,-390.8369930607775
-19.76919769197692,-390.8211773844656
-19.76879768797688,-390.80536202815995
-19.76839768397684,-390.7895469918609
-19.7679976799768,-390.7737322755682
-19.76759767597676,-390.75791787928176
-19.76719767197672,-390.7421038030019
-19.76679766797668,-390.72629004672825
-19.76639766397664,-390.71047661046117
-19.7659976599766,-390.69466349420037
-19.76559765597656,-390.6788506979461
-19.76519765197652,-390.6630382216982
-19.76479764797648,-390.64722606545655
-19.76439764397644,-390.6314142292215
-19.7639976399764,-390.61560271299265
-19.76359763597636,-390.5997915167704
-19.76319763197632,-390.58398064055433
-19.76279762797628,-390.5681700843449
-19.76239762397624,-390.5523598481418
-19.7619976199762,-390.536549931945
-19.76159761597616,-390.5207403357547
-19.76119761197612,-390.50493105957065
-19.76079760797608,-390.4891221033932
-19.76039760397604,-390.47331346722194
-19.759997599976,-390.45750515105726
-19.75959759597596,-390.441697154899
-19.75919759197592,-390.42588947874697
-19.75879758797588,-390.41008212260147
-19.75839758397584,-390.39427508646224
-19.7579975799758,-390.3784683703296
-19.75759757597576,-390.36266197420315
-19.75719757197572,-390.3468558980833
-19.75679756797568,-390.3310501419698
-19.75639756397564,-390.3152447058626
-19.7559975599756,-390.2994395897619
-19.75559755597556,-390.2836347936675
-19.75519755197552,-390.2678303175796
-19.75479754797548,-390.25202616149795
-19.75439754397544,-390.2362223254229
-19.7539975399754,-390.2204188093542
-19.75359753597536,-390.20461561329176
-19.75319753197532,-390.1888127372359
-19.75279752797528,-390.17301018118627
-19.75239752397524,-390.1572079451432
-19.7519975199752,-390.1414060291064
-19.75159751597516,-390.1256044330761
-19.75119751197512,-390.1098031570522
-19.75079750797508,-390.0940022010346
-19.75039750397504,-390.0782015650235
-19.749997499975,-390.0624012490187
-19.74959749597496,-390.0466012530204
-19.74919749197492,-390.0308015770284
-19.74879748797488,-390.01500222104295
-19.74839748397484,-389.99920318506383
-19.7479974799748,-389.983404469091
-19.74759747597476,-389.9676060731247
-19.74719747197472,-389.95180799716474
-19.74679746797468,-389.93601024121125
-19.74639746397464,-389.92021280526404
-19.7459974599746,-389.90441568932334
-19.74559745597456,-389.8886188933891
-19.74519745197452,-389.87282241746107
-19.74479744797448,-389.85702626153954
-19.74439744397444,-389.84123042562436
-19.7439974399744,-389.8254349097157
-19.74359743597436,-389.8096397138132
-19.74319743197432,-389.7938448379174
-19.74279742797428,-389.7780502820279
-19.74239742397424,-389.76225604614467
-19.7419974199742,-389.746462130268
-19.74159741597416,-389.7306685343976
-19.74119741197412,-389.7148752585337
-19.74079740797408,-389.69908230267606
-19.74039740397404,-389.68328966682503
-19.739997399974,-389.66749735098034
-19.73959739597396,-389.6517053551419
-19.73919739197392,-389.63591367931
-19.73879738797388,-389.6201223234844
-19.73839738397384,-389.60433128766533
-19.737997379973798,-389.58854057185255
-19.73759737597376,-389.57275017604627
-19.73719737197372,-389.5569601002464
-19.73679736797368,-389.5411703444528
-19.73639736397364,-389.5253809086657
-19.7359973599736,-389.50959179288486
-19.73559735597356,-389.4938029971106
-19.735197351973518,-389.4780145213426
-19.73479734797348,-389.4622263655811
-19.73439734397344,-389.446438529826
-19.7339973399734,-389.43065101407717
-19.73359733597336,-389.41486381833494
-19.73319733197332,-389.3990769425989
-19.73279732797328,-389.3832903868694
-19.732397323973238,-389.3675041511462
-19.7319973199732,-389.35171823542953
-19.73159731597316,-389.33593263971926
-19.73119731197312,-389.32014736401527
-19.73079730797308,-389.3043624083178
-19.73039730397304,-389.2885777726266
-19.729997299973,-389.2727934569419
-19.729597295972958,-389.25700946126346
-19.72919729197292,-389.2412257855916
-19.72879728797288,-389.2254424299261
-19.72839728397284,-389.2096593942669
-19.7279972799728,-389.19387667861423
-19.72759727597276,-389.17809428296783
-19.72719727197272,-389.16231220732794
-19.726797267972678,-389.14653045169433
-19.72639726397264,-389.1307490160672
-19.7259972599726,-389.1149679004466
-19.72559725597256,-389.09918710483214
-19.72519725197252,-389.08340662922427
-19.72479724797248,-389.0676264736227
-19.72439724397244,-389.0518466380276
-19.723997239972398,-389.0360671224388
-19.72359723597236,-389.0202879268565
-19.72319723197232,-389.00450905128065
-19.72279722797228,-388.988730495711
-19.72239722397224,-388.97295226014796
-19.7219972199722,-388.9571743445911
-19.72159721597216,-388.94139674904085
-19.721197211972118,-388.92561947349685
-19.72079720797208,-388.90984251795936
-19.72039720397204,-388.8940658824283
-19.719997199972,-388.8782895669035
-19.71959719597196,-388.8625135713852
-19.71919719197192,-388.8467378958732
-19.71879718797188,-388.83096254036775
-19.718397183971838,-388.8151875048685
-19.7179971799718,-388.7994127893758
-19.71759717597176,-388.7836383938896
-19.71719717197172,-388.7678643184096
-19.71679716797168,-388.7520905629361
-19.71639716397164,-388.73631712746885
-19.7159971599716,-388.7205440120082
-19.715597155971558,-388.7047712165538
-19.71519715197152,-388.68899874110593
-19.71479714797148,-388.67322658566445
-19.71439714397144,-388.65745475022925
-19.7139971399714,-388.64168323480055
-19.71359713597136,-388.62591203937814
-19.71319713197132,-388.6101411639623
-19.712797127971278,-388.59437060855265
-19.71239712397124,-388.5786003731496
-19.7119971199712,-388.5628304577529
-19.71159711597116,-388.5470608623625
-19.71119711197112,-388.5312915869786
-19.71079710797108,-388.515522631601
-19.71039710397104,-388.49975399622997
-19.709997099970998,-388.48398568086515
-19.70959709597096,-388.4682176855069
-19.70919709197092,-388.452450010155
-19.70879708797088,-388.43668265480943
-19.70839708397084,-388.42091561947035
-19.7079970799708,-388.40514890413755
-19.70759707597076,-388.38938250881125
-19.707197071970718,-388.37361643349124
-19.70679706797068,-388.3578506781778
-19.70639706397064,-388.3420852428707
-19.7059970599706,-388.3263201275699
-19.70559705597056,-388.3105553322756
-19.70519705197052,-388.2947908569876
-19.70479704797048,-388.27902670170613
-19.704397043970438,-388.2632628664309
-19.7039970399704,-388.2474993511623
-19.70359703597036,-388.2317361559
-19.70319703197032,-388.215973280644
-19.70279702797028,-388.2002107253945
-19.70239702397024,-388.18444849015134
-19.7019970199702,-388.16868657491466
-19.701597015970158,-388.15292497968426
-19.70119701197012,-388.13716370446036
-19.70079700797008,-388.1214027492429
-19.70039700397004,-388.1056421140317
-19.69999699997,-388.08988179882704
-19.69959699596996,-388.0741218036286
-19.69919699196992,-388.0583621284367
-19.698796987969878,-388.04260277325113
-19.69839698396984,-388.0268437380721
-19.6979969799698,-388.0110850228994
-19.69759697596976,-387.995326627733
-19.69719697196972,-387.97956855257314
-19.69679696796968,-387.9638107974195
-19.69639696396964,-387.94805336227245
-19.695996959969598,-387.93229624713166
-19.69559695596956,-387.9165394519974
-19.69519695196952,-387.9007829768695
-19.69479694796948,-387.8850268217479
-19.69439694396944,-387.86927098663284
-19.6939969399694,-387.853515471524
-19.69359693596936,-387.83776027642176
-19.693196931969318,-387.8220054013258
-19.69279692796928,-387.8062508462363
-19.69239692396924,-387.79049661115323
-19.6919969199692,-387.77474269607643
-19.69159691596916,-387.75898910100614
-19.69119691196912,-387.7432358259422
-19.69079690796908,-387.72748287088467
-19.690396903969038,-387.7117302358335
-19.689996899969,-387.69597792078883
-19.68959689596896,-387.68022592575056
-19.68919689196892,-387.66447425071857
-19.68879688796888,-387.6487228956931
-19.68839688396884,-387.6329718606739
-19.6879968799688,-387.61722114566123
